UTC,航班号,识别码,海拔,经度,纬度,速度,方向,垂直速度
2018-04-15 11:30:06,CES2738,7867875,24600,30.54702,114.129822,513.0,27.0,0.0
2018-04-15 11:30:07,CES2738,7867875,24600,30.550418,114.131854,513.0,27.0,0.0
2018-04-15 11:30:12,CES2738,7867875,24600,30.560101,114.137567,513.0,27.0,0.0
2018-04-15 11:30:14,CES2738,7867875,24600,30.564337,114.140039,513.0,27.0,0.0
2018-04-15 11:30:14,CES2738,7867875,24600,30.564337,114.140039,513.0,27.0,0.0
2018-04-15 11:30:19,CES2738,7867875,24600,30.573601,114.145532,513.0,27.0,0.0
2018-04-15 11:30:20,CES2738,7867875,24600,30.577011,114.147518,513.0,27.0,0.0
2018-04-15 11:30:22,CES2738,7867875,24600,30.581655,114.150256,513.0,27.0,0.0
2018-04-15 11:30:22,CES2738,7867875,24600,30.581655,114.150256,513.0,27.0,0.0
2018-04-15 11:30:23,CES2738,7867875,24600,30.582493,114.150751,513.0,27.0,0.0
2018-04-15 11:30:23,CES2738,7867875,24600,30.582493,114.150751,513.0,27.0,0.0
2018-04-15 11:30:24,CES2738,7867875,24600,30.58374,114.151504,513.0,27.0,0.0
2018-04-15 11:30:24,CES2738,7867875,24600,30.58374,114.151504,513.0,27.0,0.0
2018-04-15 11:30:25,CES2738,7867875,24600,30.58754,114.153766,513.0,27.0,0.0
2018-04-15 11:30:28,CES2738,7867875,24600,30.593013,114.157013,513.0,27.0,0.0
2018-04-15 11:30:29,CES2738,7867875,24600,30.594736,114.158002,513.0,27.0,0.0
2018-04-15 11:30:29,CES2738,7867875,24600,30.594736,114.158002,513.0,27.0,0.0
2018-04-15 11:30:30,CES2738,7867875,24600,30.598507,114.160254,513.0,27.0,0.0
2018-04-15 11:30:31,CES2738,7867875,24600,30.599808,114.160982,513.0,27.0,0.0
2018-04-15 11:30:32,CES2738,7867875,24600,30.602325,114.16249,513.0,27.0,0.0
2018-04-15 11:30:32,CES2738,7867875,24600,30.602325,114.16249,513.0,27.0,0.0
2018-04-15 11:30:33,CES2738,7867875,24600,30.603581,114.163275,513.0,27.0,64.0
2018-04-15 11:30:34,CES2738,7867875,24600,30.606537,114.165021,513.0,27.0,64.0
2018-04-15 11:30:35,CES2738,7867875,24600,30.609074,114.166516,513.0,27.0,64.0
2018-04-15 11:30:36,CES2738,7867875,24600,30.610336,114.167229,513.0,27.0,64.0
2018-04-15 11:30:38,CES2738,7867875,24600,30.615824,114.170471,513.0,27.0,64.0
2018-04-15 11:30:57,CES2738,7867875,24625,30.655906,114.194147,512.0,27.0,0.0
2018-04-15 11:30:58,CES2738,7867875,24625,30.658035,114.195395,512.0,27.0,0.0
2018-04-15 11:30:58,CES2738,7867875,24625,30.658035,114.195395,512.0,27.0,0.0
2018-04-15 11:30:59,CES2738,7867875,24625,30.659317,114.196149,512.0,27.0,0.0
2018-04-15 11:31:01,CES2738,7867875,24625,30.663528,114.198626,513.0,27.0,0.0
2018-04-15 11:31:01,CES2738,7867875,24625,30.663528,114.198626,513.0,27.0,0.0
2018-04-15 11:31:02,CES2738,7867875,24625,30.665635,114.19986,513.0,27.0,0.0
2018-04-15 11:31:02,CES2738,7867875,24625,30.665635,114.19986,513.0,27.0,0.0
2018-04-15 11:31:03,CES2738,7867875,24625,30.667311,114.200848,512.0,27.0,0.0
2018-04-15 11:31:04,CES2738,7867875,24625,30.669846,114.202342,513.0,27.0,0.0
2018-04-15 11:31:05,CES2738,7867875,24625,30.674057,114.204927,512.0,27.0,0.0
2018-04-15 11:31:05,CES2738,7867875,24625,30.674057,114.204927,513.0,28.0,0.0
2018-04-15 11:31:06,CES2738,7867875,24625,30.675318,114.205682,513.0,28.0,0.0
2018-04-15 11:31:08,CES2738,7867875,24625,30.676117,114.20622,513.0,28.0,-64.0
2018-04-15 11:31:08,CES2738,7867875,24625,30.676117,114.20622,514.0,28.0,-64.0
2018-04-15 11:31:10,CES2738,7867875,24625,30.681928,114.209967,514.0,29.0,-64.0
2018-04-15 11:31:10,CES2738,7867875,24625,30.681928,114.209967,515.0,29.0,-64.0
2018-04-15 11:31:11,CES2738,7867875,24625,30.683167,114.210797,515.0,29.0,-64.0
2018-04-15 11:31:11,CES2738,7867875,24625,30.683167,114.210797,515.0,30.0,-64.0
2018-04-15 11:31:12,CES2738,7867875,24625,30.685233,114.212219,516.0,31.0,-64.0
2018-04-15 11:31:15,CES2738,7867875,24625,30.691332,114.216559,517.0,32.0,0.0
2018-04-15 11:31:15,CES2738,7867875,24625,30.691332,114.216559,518.0,32.0,-64.0
2018-04-15 11:31:17,CES2738,7867875,24625,30.696127,114.220239,518.0,33.0,-64.0
2018-04-15 11:31:19,CES2738,7867875,24625,30.700456,114.2237,519.0,34.0,-64.0
2018-04-15 11:31:20,CES2738,7867875,24625,30.703217,114.225984,519.0,34.0,-64.0
2018-04-15 11:31:20,CES2738,7867875,24625,30.703217,114.225984,520.0,35.0,0.0
2018-04-15 11:31:22,CES2738,7867875,24625,30.705903,114.228314,521.0,36.0,0.0
2018-04-15 11:31:23,CES2738,7867875,24625,30.708206,114.230347,522.0,37.0,0.0
2018-04-15 11:31:23,CES2738,7867875,24625,30.708206,114.230347,522.0,37.0,0.0
2018-04-15 11:31:23,CES2738,7867875,24625,30.708206,114.230347,522.0,37.0,0.0
2018-04-15 11:31:24,CES2738,7867875,24625,30.710495,114.232393,523.0,38.0,0.0
2018-04-15 11:31:26,CES2738,7867875,24625,30.714249,114.235948,523.0,39.0,0.0
2018-04-15 11:31:27,CES2738,7867875,24625,30.716098,114.237762,524.0,40.0,0.0
2018-04-15 11:31:27,CES2738,7867875,24625,30.716098,114.237762,524.0,40.0,0.0
2018-04-15 11:31:27,CES2738,7867875,24625,30.716098,114.237762,524.0,40.0,0.0
2018-04-15 11:31:31,CES2738,7867875,24625,30.721527,114.243433,525.0,42.0,64.0
2018-04-15 11:31:32,CES2738,7867875,24625,30.723267,114.245343,527.0,43.0,64.0
2018-04-15 11:31:32,CES2738,7867875,24625,30.723267,114.245343,527.0,43.0,64.0
2018-04-15 11:31:33,CES2738,7867875,24625,30.725372,114.247742,527.0,43.0,64.0
2018-04-15 11:31:33,CES2738,7867875,24625,30.725372,114.247742,527.0,43.0,64.0
2018-04-15 11:31:34,CES2738,7867875,24625,30.726746,114.249303,528.0,44.0,64.0
2018-04-15 11:31:36,CES2738,7867875,24625,30.730133,114.253396,529.0,46.0,64.0
2018-04-15 11:31:37,CES2738,7867875,24625,30.733109,114.25722,530.0,47.0,64.0
2018-04-15 11:31:37,CES2738,7867875,24625,30.733109,114.25722,530.0,47.0,64.0
2018-04-15 11:31:38,CES2738,7867875,24625,30.733749,114.258028,530.0,48.0,128.0
2018-04-15 11:31:38,CES2738,7867875,24625,30.733749,114.258028,530.0,48.0,128.0
2018-04-15 11:31:39,CES2738,7867875,24625,30.736627,114.261932,530.0,49.0,128.0
2018-04-15 11:31:42,CES2738,7867875,24650,30.740631,114.2677,532.0,51.0,128.0
2018-04-15 11:31:42,CES2738,7867875,24650,30.740631,114.2677,532.0,51.0,128.0
2018-04-15 11:31:43,CES2738,7867875,24650,30.742126,114.269984,533.0,52.0,128.0
2018-04-15 11:31:50,CES2738,7867875,24650,30.751785,114.286571,536.0,58.0,128.0
2018-04-15 11:32:08,CES2738,7867875,24650,30.771103,114.335148,539.0,69.0,64.0
